Hence,hence,
!,!,s
home,home,,topic_17,0,freq2,0,ig5,0,sal3,0
",",",",s
you,you,s
idle,idle,s,topic_41,0,freq2,0,ig5,0,sal2,0
creatures,creatures,s,topic_42,0,freq3,0,ig5,0,sal4,0
get,get,s
you,you,s
home,home,,topic_17,0,freq2,0,ig5,0,sal3,0
:,:,n
Is,is,s
this,this,s
a,a,s
holiday,holiday,,topic_42,0,freq3,0,ig5,0,sal2,0
?,?,s
what,what,
!,!,s
know,know,s
you,you,s
not,not,
",",",",n
Being,being,s
mechanical,mechanical,,topic_42,0,freq5,0,ig5,0,sal4,0
",",",",s
you,you,s
ought,ought,s
not,not,s
walk,walk,n,topic_23,0,freq3,0,ig5,0,sal4,0
Upon,upon,s
a,a,s
labouring,labouring,s,topic_34,0,freq5,0,ig5,0,sal5,0
day,day,s,topic_43,0,freq1,0,ig5,0,sal2,0
without,without,s
the,the,s
sign,sign,n,topic_19,0,freq4,0,ig5,0,sal5,0
Of,of,s
your,your,s
profession,profession,,topic_35,0,freq4,0,ig5,0,sal4,0
?,?,s
Speak,speak,,topic_27,0,freq1,0,ig5,0,sal1,0
",",",",s
what,what,s
trade,trade,s,topic_2,0,freq4,0,ig5,0,sal4,0
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,
?,?,n
Why,why,
",",",",s
sir,sir,
",",",",s
a,a,s
carpenter,carpenter,
.,.,n
Where,where,s
is,is,s
thy,thy,s
leather,leather,s,topic_4,0,freq5,0,ig5,0,sal5,0
apron,apron,s,topic_1,0,freq5,0,ig5,0,sal5,0
and,and,s
thy,thy,s
rule,rule,,topic_17,0,freq4,0,ig5,0,sal5,0
?,?,n
What,what,s
dost,dost,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,s
with,with,s
thy,thy,s
best,best,s
apparel,apparel,s,topic_2,0,freq4,0,ig5,0,sal4,0
on,on,
?,?,n
You,you,
",",",",s
sir,sir,
",",",",s
what,what,s
trade,trade,s,topic_35,0,freq4,0,ig5,0,sal4,0
are,are,s
you,you,
?,?,n
Truly,truly,
",",",",s
sir,sir,
",",",",s
in,in,s
respect,respect,s,topic_35,0,freq3,0,ig5,0,sal4,0
of,of,s
a,a,s
fine,fine,s,topic_27,0,freq3,0,ig5,0,sal3,0
workman,workman,,topic_17,0,freq5,0,ig5,0,sal5,0
",",",",s
I,i,s
am,am,s
but,but,
",",",",n
as,as,s
you,you,s
would,would,s
say,say,
",",",",s
a,a,s
cobbler,cobbler,
.,.,n
But,but,s
what,what,s
trade,trade,s,topic_35,0,freq4,0,ig5,0,sal4,0
art,art,s,topic_34,0,freq3,0,ig5,0,sal4,0
thou,thou,
?,?,s
answer,answer,s,topic_41,0,freq1,0,ig5,0,sal1,0
me,me,s
directly,directly,,topic_13,0,freq3,0,ig5,0,sal2,0
.,.,n
A,a,s
trade,trade,,topic_35,0,freq4,0,ig5,0,sal4,0
",",",",s
sir,sir,
",",",",s
that,that,
",",",",s
I,i,s
hope,hope,,topic_2,0,freq3,0,ig5,0,sal5,0
",",",",s
I,i,s
may,may,s
use,use,s
with,with,s
a,a,s
safe,safe,n,topic_35,0,freq5,0,ig5,0,sal5,0
conscience,conscience,,topic_15,0,freq1,0,ig5,0,sal3,0
;,;,s
which,which,s
is,is,
",",",",s
indeed,indeed,
",",",",s
sir,sir,
",",",",s
a,a,s
mender,mender,s,topic_49,0,freq5,0,ig3,0,sal5,0
of,of,s
bad,bad,s,topic_27,0,freq5,0,ig5,0,sal5,0
soles,soles,,topic_46,0,freq5,0,ig5,0,sal5,0
.,.,n
What,what,s
trade,trade,,topic_2,0,freq4,0,ig5,0,sal4,0
",",",",s
thou,thou,s
knave,knave,,topic_40,0,freq1,0,ig5,0,sal1,0
?,?,s
thou,thou,s
naughty,naughty,s,topic_45,0,freq4,0,ig4,0,sal3,0
knave,knave,,topic_40,0,freq1,0,ig5,0,sal1,0
",",",",s
what,what,s
trade,trade,,topic_35,0,freq4,0,ig5,0,sal4,0
?,?,n
Nay,nay,,topic_7,0,freq2,0,ig5,0,sal4,0
",",",",s
I,i,s
beseech,beseech,s,topic_27,0,freq2,0,ig5,0,sal4,0
you,you,
",",",",s
sir,sir,
",",",",s
be,be,s
not,not,s
out,out,s
with,with,s
me,me,
:,:,s
yet,yet,
",",",",n
if,if,s
you,you,s
be,be,s
out,out,
",",",",s
sir,sir,
",",",",s
I,i,s
can,can,s
mend,mend,s,topic_40,0,freq3,0,ig5,0,sal3,0
you,you,
.,.,n
What,what,s
meanest,meanest,s,topic_7,0,freq4,0,ig5,0,sal4,0
thou,thou,s
by,by,s
that,that,
?,?,s
mend,mend,s,topic_40,0,freq3,0,ig5,0,sal3,0
me,me,
",",",",s
thou,thou,s
saucy,saucy,s,topic_35,0,freq4,0,ig5,0,sal3,0
fellow,fellow,,topic_2,0,freq1,0,ig5,0,sal1,0
!,!,n
Why,why,
",",",",s
sir,sir,
",",",",s
cobble,cobble,s,topic_39,0,freq5,0,ig3,0,sal5,0
you,you,
.,.,n
Thou,thou,s
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
a,a,s
cobbler,cobbler,
",",",",s
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,
?,?,n
Truly,truly,
",",",",s
sir,sir,
",",",",s
all,all,s
that,that,s
I,i,s
live,live,s,topic_40,0,freq2,0,ig5,0,sal5,0
by,by,s
is,is,s
with,with,s
the,the,s
awl,awl,,topic_17,0,freq5,0,ig2,0,sal5,0
:,:,s
I,i,n
meddle,meddle,s,topic_48,0,freq3,0,ig4,0,sal2,0
with,with,s
no,no,s
tradesman's,tradesman's,s,topic_13,0,freq5,0,ig3,0,sal5,0
matters,matters,,topic_2,0,freq4,0,ig5,0,sal3,0
",",",",s
nor,nor,s
women's,women's,n,topic_35,0,freq4,0,ig1,0,sal3,0
matters,matters,,topic_2,0,freq4,0,ig5,0,sal3,0
",",",",s
but,but,s
with,with,s
awl,awl,,topic_17,0,freq5,0,ig2,0,sal5,0
.,.,s
I,i,s
am,am,
",",",",s
indeed,indeed,
",",",",s
sir,sir,
",",",",s
a,a,s
surgeon,surgeon,n,topic_32,0,freq4,0,ig5,0,sal5,0
to,to,s
old,old,s
shoes,shoes,,topic_2,0,freq5,0,ig5,0,sal5,0
;,;,s
when,when,s
they,they,s
are,are,s
in,in,s
great,great,s,topic_3,0,freq1,0,ig5,0,sal1,0
danger,danger,,topic_33,0,freq3,0,ig5,0,sal4,0
",",",",s
I,i,n
recover,recover,s,topic_28,0,freq4,0,ig5,0,sal4,0
them,them,
.,.,s
As,as,s
proper,proper,s,topic_22,0,freq2,0,ig5,0,sal2,0
men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
as,as,s
ever,ever,s
trod,trod,s,topic_4,0,freq5,0,ig5,0,sal5,0
upon,upon,n
neat's,neat's,s,topic_36,0,freq5,0,ig1,0,sal4,0
leather,leather,s,topic_42,0,freq4,0,ig5,0,sal4,0
have,have,s
gone,gone,s
upon,upon,s
my,my,s
handiwork,handiwork,,topic_3,0,freq5,0,ig5,0,sal5,0
.,.,n
But,but,s
wherefore,wherefore,s,topic_13,0,freq3,0,ig5,0,sal5,0
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
not,not,s
in,in,s
thy,thy,s
shop,shop,s,topic_11,0,freq4,0,ig1,0,sal2,0
today,today,,topic_41,0,freq4,0,ig5,0,sal4,0
?,?,n
Why,why,s
dost,dost,s,topic_28,0,freq1,0,ig5,0,sal1,0
