Hence,hence,
thou,thou,s
lead,lead,s,topic_36,0,freq1,0,ig4,0,sal1,0
these,these,s
men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
about,about,s
the,the,s
streets,streets,,topic_17,0,freq3,0,ig5,0,sal2,0
?,?,n
Truly,truly,
",",",",s
sir,sir,
",",",",s
to,to,s
wear,wear,s,topic_35,0,freq2,0,ig5,0,sal3,0
out,out,s
their,their,s
shoes,shoes,,topic_7,0,freq4,0,ig5,0,sal4,0
",",",",s
to,to,s
get,get,s
myself,myself,n
into,into,s
more,more,s
work,work,,topic_36,0,freq2,0,ig5,0,sal3,0
.,.,s
But,but,
",",",",s
indeed,indeed,
",",",",s
sir,sir,
",",",",s
we,we,s
make,make,s,topic_28,0,freq2,0,ig5,0,sal4,0
holiday,holiday,,topic_42,0,freq3,0,ig5,0,sal2,0
",",",",n
to,to,s
see,see,s
Caesar,caesar,s
and,and,s
to,to,s
rejoice,rejoice,s,topic_43,0,freq4,0,ig4,0,sal3,0
in,in,s
his,his,s
triumph,triumph,,topic_9,0,freq3,0,ig4,0,sal3,0
.,.,n
Wherefore,wherefore,s,topic_28,0,freq4,0,ig5,0,sal5,0
rejoice,rejoice,,topic_43,0,freq4,0,ig4,0,sal3,0
?,?,s
What,what,s
conquest,conquest,s,topic_33,0,freq3,0,ig4,0,sal3,0
brings,brings,s,topic_47,0,freq3,0,ig5,0,sal4,0
he,he,s
home,home,,topic_17,0,freq2,0,ig5,0,sal3,0
?,?,n
What,what,s
tributaries,tributaries,s,topic_35,0,freq5,0,ig1,0,sal5,0
follow,follow,s,topic_42,0,freq1,0,ig5,0,sal2,0
him,him,s
to,to,s
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
",",",",n
To,to,s
grace,grace,s,topic_49,0,freq1,0,ig5,0,sal2,0
in,in,s
captive,captive,s,topic_14,0,freq4,0,ig5,0,sal4,0
bonds,bonds,s,topic_11,0,freq4,0,ig5,0,sal3,0
his,his,s
chariot-wheels,chariot-wheels,,topic_4,0,freq5,0,ig5,0,sal5,0
?,?,n
You,you,s
blocks,blocks,,topic_35,0,freq5,0,ig1,0,sal4,0
",",",",s
you,you,s
stones,stones,,topic_35,0,freq3,0,ig5,0,sal4,0
",",",",s
you,you,s
worse,worse,s,topic_41,0,freq4,0,ig5,0,sal5,0
than,than,s
senseless,senseless,s,topic_13,0,freq4,0,ig5,0,sal5,0
things,things,,topic_3,0,freq2,0,ig5,0,sal3,0
!,!,n
O,o,s
you,you,s
hard,hard,s,topic_35,0,freq3,0,ig5,0,sal4,0
hearts,hearts,,topic_17,0,freq2,0,ig5,0,sal3,0
",",",",s
you,you,s
cruel,cruel,s,topic_27,0,freq3,0,ig5,0,sal3,0
men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
of,of,s
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
",",",",n
Knew,knew,s,topic_45,0,freq2,0,ig5,0,sal3,0
you,you,s
not,not,s
Pompey,pompey,
?,?,s
Many,many,s
a,a,s
time,time,s,topic_3,0,freq1,0,ig5,0,sal2,0
and,and,s
oft,oft,n,topic_35,0,freq2,0,ig5,0,sal2,0
Have,have,s
you,you,s
climb'd,climb'd,s,topic_35,0,freq5,0,ig1,0,sal5,0
up,up,s
to,to,s
walls,walls,s,topic_38,0,freq2,0,ig1,0,sal1,0
and,and,s
battlements,battlements,,topic_36,0,freq5,0,ig5,0,sal4,0
",",",",n
To,to,s
towers,towers,s,topic_38,0,freq4,0,ig1,0,sal3,0
and,and,s
windows,windows,,topic_9,0,freq4,0,ig1,0,sal3,0
",",",",s
yea,yea,,topic_4,0,freq1,0,ig5,0,sal1,0
",",",",s
to,to,s
chimney-tops,chimney-tops,,topic_17,0,freq5,0,ig3,0,sal5,0
",",",",n
Your,your,s
infants,infants,s,topic_38,0,freq4,0,ig1,0,sal3,0
in,in,s
your,your,s
arms,arms,,topic_38,0,freq1,0,ig5,0,sal1,0
",",",",s
and,and,s
there,there,s
have,have,s
sat,sat,n,topic_46,0,freq4,0,ig5,0,sal4,0
The,the,s
livelong,livelong,s,topic_23,0,freq5,0,ig1,0,sal5,0
day,day,,topic_47,0,freq1,0,ig5,0,sal3,0
",",",",s
with,with,s
patient,patient,s,topic_13,0,freq3,0,ig5,0,sal3,0
expectation,expectation,,topic_47,0,freq4,0,ig5,0,sal3,0
",",",",n
To,to,s
see,see,s
great,great,s,topic_49,0,freq1,0,ig5,0,sal2,0
Pompey,pompey,s
pass,pass,s,topic_17,0,freq3,0,ig5,0,sal5,0
the,the,s
streets,streets,s,topic_17,0,freq3,0,ig5,0,sal2,0
of,of,s
Rome,rome,,topic_17,0,freq1,0,ig5,0,sal1,0
:,:,n
And,and,s
when,when,s
you,you,s
saw,saw,s
his,his,s
chariot,chariot,s,topic_17,0,freq5,0,ig5,0,sal5,0
but,but,s
appear,appear,
",",",",n
Have,have,s
you,you,s
not,not,s
made,made,s,topic_3,0,freq1,0,ig5,0,sal2,0
an,an,s
universal,universal,s,topic_13,0,freq4,0,ig5,0,sal3,0
shout,shout,,topic_17,0,freq4,0,ig1,0,sal3,0
",",",",n
That,that,s
Tiber,tiber,s,topic_17,0,freq4,0,ig5,0,sal4,0
trembled,trembled,s,topic_48,0,freq5,0,ig1,0,sal3,0
underneath,underneath,s,topic_33,0,freq4,0,ig1,0,sal3,0
her,her,s
banks,banks,,topic_31,0,freq5,0,ig5,0,sal5,0
",",",",n
To,to,s
hear,hear,s,topic_17,0,freq1,0,ig5,0,sal4,0
the,the,s
replication,replication,s,topic_41,0,freq5,0,ig1,0,sal4,0
of,of,s
your,your,s
sounds,sounds,n,topic_33,0,freq5,0,ig5,0,sal5,0
Made,made,s,topic_36,0,freq1,0,ig5,0,sal3,0
in,in,s
her,her,s
concave,concave,s,topic_35,0,freq5,0,ig1,0,sal5,0
shores,shores,,topic_38,0,freq4,0,ig4,0,sal3,0
?,?,n
And,and,s
do,do,s
you,you,s
now,now,s
put,put,s,topic_41,0,freq1,0,ig5,0,sal2,0
on,on,s
your,your,s
best,best,s
attire,attire,,topic_19,0,freq5,0,ig5,0,sal5,0
?,?,n
And,and,s
do,do,s
you,you,s
now,now,s
cull,cull,s,topic_38,0,freq5,0,ig1,0,sal4,0
out,out,s
a,a,s
holiday,holiday,,topic_42,0,freq3,0,ig5,0,sal2,0
?,?,n
And,and,s
do,do,s
you,you,s
now,now,s
strew,strew,s,topic_9,0,freq4,0,ig4,0,sal4,0
flowers,flowers,s,topic_32,0,freq2,0,ig4,0,sal1,0
in,in,s
his,his,s
way,way,n
That,that,s
comes,comes,s
in,in,s
triumph,triumph,s,topic_9,0,freq3,0,ig4,0,sal3,0
over,over,s
Pompey's,pompey's,s,topic_17,0,freq4,0,ig5,0,sal3,0
blood,blood,,topic_33,0,freq1,0,ig5,0,sal4,0
?,?,s
Be,be,s
gone,gone,
!,!,n
Run,run,s,topic_33,0,freq2,0,ig5,0,sal4,0
to,to,s
your,your,s
houses,houses,,topic_13,0,freq4,0,ig5,0,sal5,0
",",",",s
fall,fall,s,topic_41,0,freq4,0,ig5,0,sal5,0
upon,upon,s
your,your,s
knees,knees,,topic_34,0,freq4,0,ig5,0,sal2,0
",",",",n
Pray,pray,s,topic_2,0,freq1,0,ig5,0,sal2,0
to,to,s
the,the,s
gods,gods,s,topic_17,0,freq1,0,ig5,0,sal2,0
to,to,s
intermit,intermit,s,topic_17,0,freq5,0,ig3,0,sal5,0
the,the,s
plague,plague,n,topic_40,0,freq2,0,ig5,0,sal2,0
That,that,s
needs,needs,s
must,must,s
light,light,s,topic_23,0,freq2,0,ig5,0,sal2,0
on,on,s
this,this,s
ingratitude,ingratitude,,topic_17,0,freq3,0,ig4,0,sal3,0
.,.,n
Go,go,
",",",",s
go,go,
",",",",s
good,good,s,topic_2,0,freq1,0,ig5,0,sal1,0
countrymen,countrymen,
",",",",s
and,and,
",",",",s
for,for,s
this,this,s
fault,fault,,topic_42,0,freq1,0,ig5,0,sal3,0
",",",",n
Assemble,assemble,s,topic_17,0,freq5,0,ig5,0,sal5,0
all,all,s
the,the,s
poor,poor,s,topic_40,0,freq1,0,ig5,0,sal4,0
men,men,s,topic_35,0,freq1,0,ig5,0,sal1,0
of,of,s
your,your,s
sort,sort,,topic_41,0,freq2,0,ig5,0,sal2,0
;,;,n
Draw,draw,s,topic_13,0,freq2,0,ig5,0,sal3,0
them,them,s
to,to,s
Tiber,tiber,s,topic_17,0,freq4,0,ig5,0,sal4,0
banks,banks,,topic_47,0,freq4,0,ig4,0,sal4,0
",",",",s
and,and,s
weep,weep,s,topic_9,0,freq2,0,ig4,0,sal1,0
your,your,s
tears,tears,n,topic_9,0,freq1,0,ig4,0,sal1,0
Into,into,s
the,the,s
channel,channel,,topic_4,0,freq4,0,ig5,0,sal4,0
",",",",s
till,till,s,topic_36,0,freq1,0,ig5,0,sal1,0
the,the,s
lowest,lowest,s,topic_10,0,freq4,0,ig5,0,sal4,0
stream,stream,n,topic_36,0,freq3,0,ig4,0,sal2,0
Do,do,s
kiss,kiss,s,topic_1,0,freq1,0,ig4,0,sal1,0
the,the,s
most,most,s
exalted,exalted,s,topic_35,0,freq5,0,ig1,0,sal4,0
shores,shores,s,topic_17,0,freq5,0,ig5,0,sal5,0
of,of,s
all,all,
.,.,n
See,see,s
whether,whether,s
their,their,s
basest,basest,s,topic_17,0,freq5,0,ig5,0,sal5,0
metal,metal,s,topic_22,0,freq3,0,ig5,0,sal2,0
be,be,s
not,not,s
moved,moved,,topic_13,0,freq2,0,ig5,0,sal3,0
;,;,n
They,they,s
vanish,vanish,s,topic_17,0,freq5,0,ig5,0,sal5,0
tongue-tied,tongue-tied,s,topic_43,0,freq5,0,ig1,0,sal4,0
in,in,s
their,their,s
guiltiness,guiltiness,,topic_16,0,freq4,0,ig1,0,sal3,0
.,.,n
Go,go,s
you,you,s
down,down,s
that,that,s
way,way,s
towards,towards,s
the,the,s
Capitol,capitol,,topic_17,0,freq3,0,ig4,0,sal2,0
;,;,n
This,this,s
way,way,s
will,will,s
I,i,s
disrobe,disrobe,s,topic_27,0,freq5,0,ig5,0,sal5,0
the,the,s
images,images,,topic_22,0,freq4,0,ig5,0,sal4,0
",",",",n
If,if,s
you,you,s
do,do,s
find,find,s,topic_35,0,freq2,0,ig5,0,sal4,0
them,them,s
deck'd,deck'd,s,topic_28,0,freq5,0,ig5,0,sal5,0
with,with,s
ceremonies,ceremonies,,topic_35,0,freq5,0,ig5,0,sal4,0
.,.,n
May,may,s
we,we,s
do,do,s
so,so,
?,?,n
You,you,s
know,know,s
it,it,s
is,is,s
the,the,s
feast,feast,s,topic_48,0,freq2,0,ig5,0,sal1,0
of,of,s
Lupercal,lupercal,,topic_17,0,freq5,0,ig2,0,sal5,0
.,.,n
It,it,s
is,is,s
no,no,s
matter,matter,,topic_42,0,freq1,0,ig5,0,sal4,0
;,;,s
let,let,s
no,no,s
images,images,n,topic_22,0,freq4,0,ig5,0,sal4,0
Be,be,s
hung,hung,s,topic_35,0,freq4,0,ig5,0,sal4,0
with,with,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
trophies,trophies,,topic_17,0,freq5,0,ig5,0,sal5,0
.,.,s
I'll,i'll,s
about,about,
",",",",n
And,and,s
drive,drive,s,topic_37,0,freq4,0,ig5,0,sal4,0
away,away,s
the,the,s
vulgar,vulgar,s,topic_41,0,freq3,0,ig1,0,sal2,0
from,from,s
the,the,s
streets,streets,,topic_17,0,freq3,0,ig5,0,sal2,0
:,:,n
So,so,s
do,do,s
you,you,s
too,too,
",",",",s
where,where,s
you,you,s
perceive,perceive,s,topic_27,0,freq3,0,ig5,0,sal4,0
them,them,s
thick,thick,,topic_3,0,freq3,0,ig4,0,sal2,0
.,.,n
These,these,s
growing,growing,s,topic_13,0,freq3,0,ig1,0,sal2,0
feathers,feathers,s,topic_41,0,freq4,0,ig5,0,sal3,0
pluck'd,pluck'd,s,topic_9,0,freq4,0,ig1,0,sal3,0
from,from,s
Caesar's,caesar's,s,topic_17,0,freq2,0,ig4,0,sal1,0
wing,wing,n,topic_47,0,freq4,0,ig5,0,sal4,0
Will,will,s
make,make,s,topic_28,0,freq2,0,ig5,0,sal4,0
him,him,s
fly,fly,s,topic_33,0,freq1,0,ig4,0,sal1,0
an,an,s
ordinary,ordinary,s,topic_37,0,freq5,0,ig5,0,sal5,0
pitch,pitch,,topic_39,0,freq4,0,ig5,0,sal4,0
",",",",n
Who,who,s
else,else,s
would,would,s
soar,soar,s,topic_4,0,freq4,0,ig1,0,sal3,0
above,above,s
the,the,s
view,view,s,topic_21,0,freq4,0,ig5,0,sal4,0
of,of,s
men,men,n,topic_35,0,freq1,0,ig5,0,sal1,0
And,and,s
keep,keep,s
us,us,s
all,all,s
in,in,s
servile,servile,s,topic_13,0,freq4,0,ig5,0,sal4,0
fearfulness,fearfulness,,topic_22,0,freq5,0,ig3,0,sal5,0
.,.,n
Calpurnia,calpurnia,
!,!,n
Peace,peace,,topic_13,0,freq1,0,ig5,0,sal1,0
",",",",s
ho,ho,,topic_13,0,freq1,0,ig5,0,sal2,0
!,!,s
Caesar,caesar,s
speaks,speaks,,topic_30,0,freq4,0,ig5,0,sal5,0
.,.,n
Calpurnia,calpurnia,
!,!,n
Here,here,
",",",",s
my,my,s
lord,lord,
.,.,n
Stand,stand,s,topic_17,0,freq2,0,ig5,0,sal5,0
you,you,s
directly,directly,s,topic_13,0,freq3,0,ig5,0,sal2,0
in,in,s
Antonius,antonius,,topic_17,0,freq4,0,ig1,0,sal3,0
',',s
way,way,
",",",",n
When,when,s
he,he,s
doth,doth,s,topic_9,0,freq2,0,ig5,0,sal5,0
run,run,s,topic_2,0,freq2,0,ig5,0,sal3,0
his,his,s
course,course,
.,.,s
Antonius,antonius,,topic_17,0,freq4,0,ig1,0,sal3,0
!,!,n
Caesar,caesar,
",",",",s
my,my,s
lord,lord,
?,?,n
Forget,forget,s,topic_17,0,freq5,0,ig5,0,sal5,0
not,not,
",",",",s
in,in,s
your,your,s
speed,speed,
",",",",s
Antonius,antonius,,topic_17,0,freq4,0,ig1,0,sal3,0
",",",",n
To,to,s
touch,touch,s,topic_35,0,freq5,0,ig5,0,sal5,0
Calpurnia,calpurnia,
;,;,s
for,for,s
our,our,s
elders,elders,s,topic_17,0,freq5,0,ig1,0,sal4,0
say,say,
",",",",n
The,the,s
barren,barren,,topic_30,0,freq3,0,ig5,0,sal3,0
",",",",s
touched,touched,s,topic_22,0,freq5,0,ig5,0,sal5,0
in,in,s
this,this,s
holy,holy,s,topic_9,0,freq3,0,ig5,0,sal5,0
chase,chase,,topic_28,0,freq4,0,ig5,0,sal4,0
",",",",n
Shake,shake,s,topic_17,0,freq3,0,ig5,0,sal4,0
off,off,s
their,their,s
sterile,sterile,s,topic_31,0,freq5,0,ig1,0,sal4,0
curse,curse,,topic_28,0,freq3,0,ig5,0,sal4,0
.,.,n
I,i,s
shall,shall,s
remember,remember,,topic_49,0,freq4,0,ig5,0,sal5,0
:,:,n
When,when,s
Caesar,caesar,s
says,says,s
',',
do,do,s
this,this,
",",",",
',',s
it,it,s
is,is,s
perform'd,perform'd,,topic_10,0,freq3,0,ig5,0,sal3,0
.,.,n
Set,set,s,topic_36,0,freq1,0,ig5,0,sal2,0
on,on,
;,;,s
and,and,s
leave,leave,s,topic_48,0,freq1,0,ig5,0,sal2,0
no,no,s
ceremony,ceremony,s,topic_35,0,freq3,0,ig4,0,sal2,0
out,out,
.,.,n
Caesar,caesar,
!,!,n
Ha,ha,,topic_42,0,freq3,0,ig5,0,sal5,0
!,!,s
who,who,s
calls,calls,,topic_28,0,freq4,0,ig5,0,sal5,0
?,?,n
Bid,bid,s,topic_48,0,freq2,0,ig5,0,sal3,0
every,every,s
noise,noise,s,topic_17,0,freq4,0,ig5,0,sal5,0
be,be,s
still,still,
:,:,s
peace,peace,s,topic_13,0,freq1,0,ig5,0,sal1,0
yet,yet,s
again,again,
!,!,n
Who,who,s
is,is,s
it,it,s
in,in,s
the,the,s
press,press,s,topic_2,0,freq4,0,ig5,0,sal4,0
that,that,s
calls,calls,s,topic_48,0,freq5,0,ig5,0,sal5,0
on,on,s
me,me,
?,?,n
I,i,s
hear,hear,s,topic_17,0,freq1,0,ig5,0,sal4,0
a,a,s
tongue,tongue,,topic_43,0,freq2,0,ig5,0,sal3,0
",",",",s
shriller,shriller,s,topic_14,0,freq5,0,ig3,0,sal5,0
than,than,s
all,all,s
the,the,s
music,music,,topic_32,0,freq1,0,ig5,0,sal1,0
",",",",n
Cry,cry,s,topic_35,0,freq2,0,ig5,0,sal3,0
',',
Caesar,caesar,
!,!,
',',s
Speak,speak,,topic_34,0,freq1,0,ig5,0,sal1,0
;,;,s
Caesar,caesar,s
is,is,s
turn'd,turn'd,s,topic_47,0,freq2,0,ig4,0,sal1,0
to,to,s
hear,hear,,topic_27,0,freq1,0,ig5,0,sal4,0
.,.,n
Beware,beware,s,topic_35,0,freq3,0,ig4,0,sal2,0
the,the,s
ides,ides,s,topic_17,0,freq4,0,ig1,0,sal4,0
of,of,s
March,march,,topic_19,0,freq2,0,ig5,0,sal3,0
.,.,n
What,what,s
man,man,s
is,is,s
that,that,
?,?,n
A,a,s
soothsayer,soothsayer,s
bids,bids,s,topic_38,0,freq3,0,ig5,0,sal4,0
you,you,s
beware,beware,s,topic_35,0,freq3,0,ig4,0,sal2,0
the,the,s
ides,ides,s,topic_17,0,freq4,0,ig1,0,sal4,0
of,of,s
March,march,,topic_15,0,freq3,0,ig5,0,sal5,0
.,.,n
Set,set,s,topic_36,0,freq1,0,ig5,0,sal2,0
him,him,s
before,before,s
me,me,
;,;,s
let,let,s
me,me,s
see,see,s
his,his,s
face,face,,topic_43,0,freq2,0,ig5,0,sal4,0
.,.,n
Fellow,fellow,,topic_2,0,freq1,0,ig5,0,sal1,0
",",",",s
come,come,s
from,from,s
the,the,s
throng,throng,,topic_17,0,freq4,0,ig5,0,sal3,0
;,;,s
look,look,s
upon,upon,s
Caesar,caesar,
.,.,n
What,what,s
say'st,say'st,s,topic_2,0,freq3,0,ig5,0,sal2,0
thou,thou,s
to,to,s
me,me,s
now,now,
?,?,s
speak,speak,s,topic_34,0,freq1,0,ig5,0,sal1,0
once,once,s
again,again,
.,.,n
Beware,beware,s,topic_35,0,freq3,0,ig4,0,sal2,0
the,the,s
ides,ides,s,topic_17,0,freq4,0,ig1,0,sal4,0
of,of,s
March,march,,topic_33,0,freq3,0,ig5,0,sal3,0
.,.,n
He,he,s
is,is,s
a,a,s
dreamer,dreamer,,topic_4,0,freq5,0,ig1,0,sal4,0
;,;,s
let,let,s
us,us,s
leave,leave,s,topic_48,0,freq1,0,ig5,0,sal2,0
him,him,
:,:,s
pass,pass,,topic_48,0,freq3,0,ig5,0,sal4,0
.,.,n
Will,will,s
you,you,s
go,go,s
see,see,s
the,the,s
order,order,s,topic_22,0,freq3,0,ig5,0,sal4,0
of,of,s
the,the,s
course,course,
?,?,n
Not,not,s
I,i,
.,.,n
I,i,s
pray,pray,s,topic_2,0,freq1,0,ig5,0,sal2,0
you,you,
",",",",s
do,do,
.,.,n
I,i,s
am,am,s
not,not,s
gamesome,gamesome,,topic_32,0,freq5,0,ig5,0,sal5,0
:,:,s
I,i,s
do,do,s
lack,lack,s,topic_25,0,freq2,0,ig5,0,sal1,0
some,some,s
part,part,n,topic_13,0,freq1,0,ig5,0,sal1,0
Of,of,s
that,that,s
quick,quick,s,topic_42,0,freq2,0,ig5,0,sal4,0
spirit,spirit,s,topic_13,0,freq1,0,ig5,0,sal3,0
that,that,s
is,is,s
in,in,s
Antony,antony,
.,.,n
Let,let,s
me,me,s
not,not,s
hinder,hinder,,topic_26,0,freq4,0,ig1,0,sal3,0
",",",",s
Cassius,cassius,
",",",",s
your,your,s
desires,desires,,topic_42,0,freq1,0,ig5,0,sal1,0
;,;,n
I'll,i'll,s
leave,leave,s,topic_48,0,freq1,0,ig5,0,sal2,0
you,you,
.,.,n
Brutus,brutus,
",",",",s
I,i,s
do,do,s
observe,observe,s,topic_35,0,freq3,0,ig1,0,sal1,0
you,you,s
now,now,s
of,of,s
