",",",",s
my,my,s
most,most,s
loving,loving,s,topic_24,0,freq3,0,ig5,0,sal4,0
liege,liege,,topic_8,0,freq1,0,ig4,0,sal1,0
!,!,n
Each,each,s
day,day,s,topic_23,0,freq1,0,ig5,0,sal3,0
still,still,s
better,better,s
other's,other's,s,topic_38,0,freq4,0,ig5,0,sal4,0
happiness,happiness,,topic_24,0,freq4,0,ig5,0,sal5,0
;,;,n
Until,until,s
the,the,s
heavens,heavens,,topic_12,0,freq2,0,ig5,0,sal4,0
",",",",s
envying,envying,s,topic_43,0,freq5,0,ig5,0,sal5,0
earth's,earth's,s,topic_8,0,freq5,0,ig5,0,sal5,0
good,good,s,topic_46,0,freq1,0,ig5,0,sal3,0
hap,hap,,topic_30,0,freq3,0,ig5,0,sal4,0
",",",",n
Add,add,s,topic_19,0,freq4,0,ig5,0,sal5,0
an,an,s
immortal,immortal,s,topic_26,0,freq4,0,ig5,0,sal4,0
title,title,s,topic_8,0,freq2,0,ig5,0,sal3,0
to,to,s
your,your,s
crown,crown,,topic_8,0,freq1,0,ig5,0,sal1,0
!,!,n
We,we,s
thank,thank,s
you,you,s
both,both,
:,:,s
yet,yet,s
one,one,s
but,but,s
flatters,flatters,s,topic_39,0,freq5,0,ig5,0,sal5,0
us,us,
",",",",n
As,as,s
well,well,s
appeareth,appeareth,s,topic_8,0,freq5,0,ig2,0,sal5,0
by,by,s
the,the,s
cause,cause,s
you,you,s
come,come,
;,;,n
Namely,namely,s
to,to,s
appeal,appeal,s,topic_8,0,freq4,0,ig5,0,sal4,0
each,each,s
other,other,s
of,of,s
high,high,s,topic_8,0,freq2,0,ig5,0,sal2,0
treason,treason,,topic_19,0,freq1,0,ig5,0,sal1,0
.,.,n
Cousin,cousin,s
of,of,s
Hereford,hereford,,topic_24,0,freq3,0,ig1,0,sal2,0
",",",",s
what,what,s
dost,dost,s,topic_28,0,freq1,0,ig5,0,sal1,0
thou,thou,s
object,object,n,topic_5,0,freq5,0,ig5,0,sal5,0
Against,against,s
the,the,s
Duke,duke,s
of,of,s
Norfolk,norfolk,
",",",",s
Thomas,thomas,s
Mowbray,mowbray,
?,?,n
First,first,
",",",",s
heaven,heaven,s,topic_16,0,freq1,0,ig5,0,sal1,0
be,be,s
the,the,s
record,record,s,topic_24,0,freq4,0,ig5,0,sal4,0
to,to,s
my,my,s
speech,speech,,topic_41,0,freq3,0,ig5,0,sal5,0
!,!,n
In,in,s
the,the,s
devotion,devotion,s,topic_24,0,freq4,0,ig5,0,sal5,0
of,of,s
a,a,s
subject's,subject's,s,topic_34,0,freq5,0,ig1,0,sal4,0
love,love,,topic_5,0,freq1,0,ig5,0,sal1,0
",",",",n
Tendering,tendering,s,topic_33,0,freq5,0,ig5,0,sal5,0
the,the,s
precious,precious,s,topic_43,0,freq3,0,ig5,0,sal3,0
safety,safety,s,topic_36,0,freq4,0,ig5,0,sal5,0
of,of,s
my,my,s
prince,prince,
",",",",n
And,and,s
free,free,s,topic_25,0,freq2,0,ig5,0,sal3,0
from,from,s
other,other,s
misbegotten,misbegotten,s,topic_23,0,freq5,0,ig1,0,sal4,0
hate,hate,,topic_28,0,freq4,0,ig5,0,sal5,0
",",",",n
Come,come,s
I,i,s
appellant,appellant,s,topic_19,0,freq5,0,ig1,0,sal4,0
to,to,s
this,this,s
princely,princely,s,topic_24,0,freq2,0,ig5,0,sal1,0
presence,presence,,topic_8,0,freq2,0,ig5,0,sal2,0
.,.,n
Now,now,
",",",",s
Thomas,thomas,s
Mowbray,mowbray,
",",",",s
do,do,s
I,i,s
turn,turn,s,topic_34,0,freq2,0,ig5,0,sal1,0
to,to,s
thee,thee,
",",",",n
And,and,s
mark,mark,s,topic_41,0,freq1,0,ig5,0,sal1,0
my,my,s
greeting,greeting,s,topic_3,0,freq4,0,ig5,0,sal3,0
well,well,
;,;,s
for,for,s
what,what,s
I,i,s
speak,speak,n,topic_3,0,freq1,0,ig5,0,sal2,0
My,my,s
body,body,s,topic_34,0,freq3,0,ig5,0,sal3,0
shall,shall,s
make,make,s,topic_1,0,freq2,0,ig5,0,sal5,0
good,good,s,topic_23,0,freq1,0,ig5,0,sal3,0
upon,upon,s
this,this,s
earth,earth,,topic_4,0,freq2,0,ig5,0,sal3,0
",",",",n
Or,or,s
my,my,s
divine,divine,s,topic_46,0,freq4,0,ig5,0,sal5,0
soul,soul,s,topic_24,0,freq1,0,ig5,0,sal1,0
answer,answer,s,topic_34,0,freq2,0,ig5,0,sal2,0
it,it,s
in,in,s
heaven,heaven,,topic_8,0,freq2,0,ig5,0,sal5,0
.,.,n
Thou,thou,s
art,art,s,topic_28,0,freq1,0,ig5,0,sal1,0
a,a,s
traitor,traitor,s,topic_19,0,freq1,0,ig4,0,sal1,0
and,and,s
a,a,s
miscreant,miscreant,,topic_19,0,freq5,0,ig1,0,sal4,0
",",",",n
Too,too,s
good,good,s,topic_46,0,freq1,0,ig5,0,sal3,0
to,to,s
be,be,s
so,so,s
and,and,s
too,too,s
bad,bad,s,topic_21,0,freq3,0,ig5,0,sal4,0
to,to,s
live,live,,topic_24,0,freq1,0,ig5,0,sal2,0
",",",",n
Since,since,s
the,the,s
more,more,s
fair,fair,s,topic_5,0,freq2,0,ig5,0,sal3,0
and,and,s
crystal,crystal,s,topic_40,0,freq5,0,ig5,0,sal5,0
is,is,s
the,the,s
sky,sky,,topic_30,0,freq2,0,ig5,0,sal2,0
",",",",n
The,the,s
uglier,uglier,s,topic_31,0,freq5,0,ig5,0,sal5,0
seem,seem,s
the,the,s
clouds,clouds,s,topic_39,0,freq3,0,ig5,0,sal3,0
that,that,s
in,in,s
it,it,s
fly,fly,,topic_33,0,freq1,0,ig4,0,sal1,0
.,.,n
Once,once,s
more,more,
",",",",s
the,the,s
more,more,s
to,to,s
aggravate,aggravate,s,topic_2,0,freq5,0,ig5,0,sal5,0
the,the,s
note,note,,topic_25,0,freq1,0,ig5,0,sal1,0
",",",",n
With,with,s
a,a,s
foul,foul,s,topic_12,0,freq2,0,ig5,0,sal4,0
traitor's,traitor's,s,topic_19,0,freq4,0,ig4,0,sal3,0
name,name,s
stuff,stuff,s,topic_12,0,freq2,0,ig4,0,sal1,0
I,i,s
thy,thy,s
throat,throat,,topic_34,0,freq4,0,ig5,0,sal1,0
;,;,n
And,and,s
wish,wish,
",",",",s
so,so,s
please,please,s
my,my,s
sovereign,sovereign,,topic_8,0,freq1,0,ig5,0,sal2,0
",",",",s
ere,ere,s,topic_23,0,freq3,0,ig5,0,sal5,0
I,i,s
move,move,,topic_43,0,freq3,0,ig5,0,sal3,0
",",",",n
What,what,s
my,my,s
tongue,tongue,s,topic_34,0,freq1,0,ig5,0,sal1,0
speaks,speaks,s,topic_34,0,freq3,0,ig5,0,sal1,0
my,my,s
right,right,s
drawn,drawn,s,topic_36,0,freq4,0,ig5,0,sal5,0
sword,sword,s,topic_33,0,freq1,0,ig5,0,sal1,0
may,may,s
prove,prove,,topic_46,0,freq2,0,ig5,0,sal1,0
.,.,n
Let,let,s
not,not,s
my,my,s
cold,cold,s,topic_31,0,freq2,0,ig5,0,sal3,0
words,words,s,topic_34,0,freq2,0,ig5,0,sal2,0
here,here,s
accuse,accuse,s,topic_27,0,freq3,0,ig5,0,sal3,0
my,my,s
zeal,zeal,,topic_43,0,freq3,0,ig1,0,sal2,0
:,:,n
',',
Tis,tis,s,topic_46,0,freq1,0,ig5,0,sal2,0
not,not,s
the,the,s
trial,trial,s,topic_34,0,freq4,0,ig5,0,sal3,0
of,of,s
a,a,s
woman's,woman's,s,topic_4,0,freq4,0,ig5,0,sal5,0
war,war,,topic_8,0,freq3,0,ig5,0,sal5,0
",",",",n
The,the,s
bitter,bitter,s,topic_2,0,freq4,0,ig5,0,sal4,0
clamour,clamour,s,topic_30,0,freq4,0,ig5,0,sal4,0
of,of,s
two,two,s
eager,eager,s,topic_33,0,freq5,0,ig5,0,sal5,0
tongues,tongues,,topic_1,0,freq3,0,ig5,0,sal2,0
",",",",n
Can,can,s
arbitrate,arbitrate,s,topic_43,0,freq5,0,ig1,0,sal4,0
this,this,s
cause,cause,s
betwixt,betwixt,s,topic_24,0,freq4,0,ig5,0,sal4,0
us,us,s
twain,twain,,topic_14,0,freq3,0,ig5,0,sal2,0
;,;,n
The,the,s
blood,blood,s,topic_38,0,freq1,0,ig5,0,sal1,0
is,is,s
hot,hot,s,topic_36,0,freq3,0,ig5,0,sal4,0
that,that,s
must,must,s
be,be,s
cool'd,cool'd,s,topic_46,0,freq5,0,ig1,0,sal4,0
for,for,s
this,this,
:,:,n
Yet,yet,s
can,can,s
I,i,s
not,not,s
of,of,s
such,such,s
tame,tame,s,topic_1,0,freq3,0,ig4,0,sal2,0
patience,patience,s
boast,boast,n,topic_4,0,freq3,0,ig1,0,sal1,0
As,as,s
to,to,s
be,be,s
hush'd,hush'd,s,topic_43,0,freq5,0,ig4,0,sal4,0
and,and,s
nought,nought,s,topic_30,0,freq2,0,ig5,0,sal2,0
at,at,s
all,all,s
to,to,s
say,say,
:,:,n
First,first,
",",",",s
the,the,s
fair,fair,s,topic_43,0,freq1,0,ig5,0,sal1,0
reverence,reverence,s,topic_8,0,freq3,0,ig5,0,sal4,0
of,of,s
your,your,s
highness,highness,s,topic_8,0,freq2,0,ig5,0,sal3,0
curbs,curbs,s,topic_27,0,freq5,0,ig5,0,sal5,0
me,me,n
From,from,s
giving,giving,s,topic_34,0,freq4,0,ig5,0,sal3,0
reins,reins,s,topic_34,0,freq5,0,ig5,0,sal5,0
and,and,s
spurs,spurs,s,topic_0,0,freq4,0,ig1,0,sal3,0
to,to,s
my,my,s
free,free,s,topic_22,0,freq2,0,ig5,0,sal3,0
speech,speech,,topic_27,0,freq2,0,ig5,0,sal3,0
;,;,n
Which,which,s
else,else,s
would,would,s
post,post,s
until,until,s
it,it,s
had,had,s
return'd,return'd,n,topic_36,0,freq3,0,ig4,0,sal2,0
These,these,s
terms,terms,s,topic_8,0,freq4,0,ig5,0,sal5,0
of,of,s
treason,treason,s,topic_19,0,freq1,0,ig5,0,sal1,0
doubled,doubled,s,topic_36,0,freq5,0,ig5,0,sal5,0
down,down,s
his,his,s
throat,throat,,topic_34,0,freq4,0,ig5,0,sal1,0
.,.,n
Setting,setting,s,topic_34,0,freq5,0,ig5,0,sal5,0
aside,aside,s
his,his,s
high,high,s,topic_4,0,freq2,0,ig5,0,sal3,0
blood's,blood's,s,topic_24,0,freq5,0,ig2,0,sal5,0
royalty,royalty,,topic_8,0,freq3,0,ig4,0,sal2,0
",",",",n
And,and,s
let,let,s
him,him,s
be,be,s
no,no,s
kinsman,kinsman,s,topic_23,0,freq4,0,ig5,0,sal3,0
to,to,s
my,my,s
