Let,let,s
fame,fame,,topic_33,0,freq3,0,ig5,0,sal4,0
",",",",s
that,that,s
all,all,s
hunt,hunt,s,topic_1,0,freq5,0,ig5,0,sal5,0
after,after,s
in,in,s
their,their,s
lives,lives,,topic_47,0,freq3,0,ig5,0,sal5,0
",",",",n
Live,live,s,topic_45,0,freq2,0,ig5,0,sal4,0
register'd,register'd,s,topic_6,0,freq5,0,ig1,0,sal4,0
upon,upon,s
our,our,s
brazen,brazen,s,topic_30,0,freq3,0,ig1,0,sal3,0
tombs,tombs,n,topic_22,0,freq5,0,ig1,0,sal4,0
And,and,s
then,then,s
grace,grace,s,topic_6,0,freq1,0,ig5,0,sal4,0
us,us,s
in,in,s
the,the,s
disgrace,disgrace,s,topic_35,0,freq4,0,ig5,0,sal5,0
of,of,s
death,death,,topic_21,0,freq1,0,ig5,0,sal1,0
;,;,n
When,when,
",",",",s
spite,spite,s,topic_21,0,freq5,0,ig5,0,sal5,0
of,of,s
cormorant,cormorant,s,topic_6,0,freq5,0,ig5,0,sal5,0
devouring,devouring,s,topic_6,0,freq4,0,ig1,0,sal4,0
Time,time,,topic_3,0,freq1,0,ig5,0,sal2,0
",",",",n
The,the,s
endeavor,endeavor,s,topic_26,0,freq5,0,ig2,0,sal5,0
of,of,s
this,this,s
present,present,s,topic_44,0,freq2,0,ig5,0,sal3,0
breath,breath,s,topic_9,0,freq2,0,ig5,0,sal3,0
may,may,s
buy,buy,n,topic_2,0,freq3,0,ig5,0,sal3,0
That,that,s
honour,honour,s,topic_45,0,freq1,0,ig5,0,sal1,0
which,which,s
shall,shall,s
bate,bate,s,topic_4,0,freq4,0,ig5,0,sal3,0
his,his,s
scythe's,scythe's,s,topic_6,0,freq5,0,ig3,0,sal5,0
keen,keen,s,topic_43,0,freq4,0,ig4,0,sal3,0
edge,edge,n,topic_43,0,freq3,0,ig5,0,sal3,0
And,and,s
make,make,s,topic_18,0,freq1,0,ig5,0,sal5,0
us,us,s
heirs,heirs,s,topic_19,0,freq3,0,ig5,0,sal3,0
of,of,s
all,all,s
eternity,eternity,,topic_31,0,freq5,0,ig5,0,sal5,0
.,.,n
Therefore,therefore,
",",",",s
brave,brave,s,topic_30,0,freq2,0,ig5,0,sal5,0
conquerors,conquerors,,topic_31,0,freq5,0,ig5,0,sal5,0
",",",",
--,--,
for,for,s
so,so,s
you,you,s
are,are,
",",",",n
That,that,s
war,war,s,topic_38,0,freq1,0,ig5,0,sal2,0
against,against,s
your,your,s
own,own,s
affections,affections,n,topic_31,0,freq3,0,ig1,0,sal2,0
And,and,s
the,the,s
huge,huge,s,topic_4,0,freq4,0,ig5,0,sal5,0
army,army,s,topic_33,0,freq2,0,ig1,0,sal2,0
of,of,s
the,the,s
world's,world's,s,topic_6,0,freq3,0,ig5,0,sal3,0
desires,desires,,topic_43,0,freq4,0,ig5,0,sal5,0
",",",",
--,--,n
Our,our,s
late,late,s,topic_26,0,freq1,0,ig5,0,sal1,0
edict,edict,s,topic_6,0,freq4,0,ig5,0,sal4,0
shall,shall,s
strongly,strongly,s,topic_0,0,freq3,0,ig4,0,sal2,0
stand,stand,s,topic_14,0,freq1,0,ig5,0,sal5,0
in,in,s
force,force,,topic_31,0,freq2,0,ig5,0,sal2,0
:,:,n
Navarre,navarre,s,topic_6,0,freq4,0,ig1,0,sal3,0
shall,shall,s
be,be,s
the,the,s
wonder,wonder,s
of,of,s
the,the,s
world,world,,topic_31,0,freq1,0,ig5,0,sal3,0
;,;,n
Our,our,s
court,court,s
shall,shall,s
be,be,s
a,a,s
little,little,s
Academe,academe,,topic_4,0,freq5,0,ig4,0,sal5,0
",",",",n
Still,still,s
and,and,s
contemplative,contemplative,s,topic_39,0,freq5,0,ig5,0,sal5,0
in,in,s
living,living,s,topic_9,0,freq3,0,ig5,0,sal4,0
art,art,,topic_6,0,freq2,0,ig5,0,sal5,0
.,.,n
You,you,s
three,three,
",",",",s
Biron,biron,,topic_6,0,freq3,0,ig1,0,sal1,0
",",",",s
Dumain,dumain,,topic_6,0,freq4,0,ig1,0,sal3,0
",",",",s
and,and,s
Longaville,longaville,
",",",",n
Have,have,s
sworn,sworn,s,topic_43,0,freq2,0,ig5,0,sal1,0
for,for,s
three,three,s
years,years,,topic_6,0,freq1,0,ig5,0,sal1,0
',',s
term,term,s,topic_6,0,freq3,0,ig5,0,sal3,0
to,to,s
live,live,s,topic_24,0,freq1,0,ig5,0,sal2,0
with,with,s
me,me,n
My,my,s
fellow-scholars,fellow-scholars,,topic_6,0,freq5,0,ig3,0,sal5,0
",",",",s
and,and,s
to,to,s
keep,keep,s
those,those,s
statutes,statutes,n,topic_27,0,freq4,0,ig1,0,sal3,0
That,that,s
are,are,s
recorded,recorded,s,topic_31,0,freq5,0,ig5,0,sal5,0
in,in,s
this,this,s
