mighty,mighty,s,topic_32,0,freq2,0,ig5,0,sal2,0
monarchies,monarchies,,topic_4,0,freq5,0,ig2,0,sal5,0
",",",",n
Whose,whose,s
high,high,s,topic_11,0,freq2,0,ig5,0,sal2,0
upreared,upreared,s,topic_29,0,freq5,0,ig3,0,sal5,0
and,and,s
abutting,abutting,s,topic_11,0,freq5,0,ig3,0,sal5,0
fronts,fronts,n,topic_48,0,freq5,0,ig1,0,sal4,0
The,the,s
perilous,perilous,s,topic_11,0,freq4,0,ig4,0,sal4,0
narrow,narrow,s,topic_17,0,freq5,0,ig5,0,sal5,0
ocean,ocean,s,topic_3,0,freq4,0,ig5,0,sal5,0
parts,parts,s,topic_11,0,freq3,0,ig5,0,sal4,0
asunder,asunder,,topic_15,0,freq4,0,ig4,0,sal3,0
:,:,n
Piece,piece,s,topic_40,0,freq3,0,ig5,0,sal3,0
out,out,s
our,our,s
imperfections,imperfections,s,topic_35,0,freq5,0,ig5,0,sal5,0
with,with,s
your,your,s
thoughts,thoughts,,topic_16,0,freq4,0,ig5,0,sal5,0
;,;,n
Into,into,s
a,a,s
thousand,thousand,s,topic_49,0,freq1,0,ig5,0,sal1,0
parts,parts,s,topic_11,0,freq3,0,ig5,0,sal4,0
divide,divide,s,topic_48,0,freq4,0,ig5,0,sal3,0
on,on,s
man,man,
",",",",n
And,and,s
make,make,s,topic_16,0,freq1,0,ig5,0,sal3,0
imaginary,imaginary,s,topic_8,0,freq4,0,ig5,0,sal4,0
puissance,puissance,,topic_17,0,freq4,0,ig1,0,sal3,0
;,;,n
Think,think,s
when,when,s
we,we,s
talk,talk,s,topic_23,0,freq2,0,ig5,0,sal3,0
of,of,s
horses,horses,,topic_42,0,freq1,0,ig4,0,sal1,0
",",",",s
that,that,s
you,you,s
see,see,s
them,them,n
Printing,printing,s,topic_25,0,freq4,0,ig1,0,sal4,0
their,their,s
proud,proud,s,topic_27,0,freq2,0,ig5,0,sal3,0
hoofs,hoofs,s,topic_8,0,freq5,0,ig1,0,sal4,0
i,i,
',',s
the,the,s
receiving,receiving,s,topic_18,0,freq5,0,ig1,0,sal4,0
earth,earth,,topic_6,0,freq2,0,ig5,0,sal3,0
;,;,n
For,for,s
',',
tis,tis,s,topic_4,0,freq1,0,ig5,0,sal4,0
your,your,s
thoughts,thoughts,s,topic_32,0,freq1,0,ig5,0,sal1,0
that,that,s
now,now,s
must,must,s
deck,deck,s,topic_16,0,freq4,0,ig5,0,sal4,0
our,our,s
kings,kings,,topic_31,0,freq1,0,ig4,0,sal1,0
",",",",n
Carry,carry,s,topic_15,0,freq3,0,ig5,0,sal4,0
them,them,s
here,here,s
and,and,s
there,there,
;,;,s
jumping,jumping,s,topic_42,0,freq5,0,ig3,0,sal5,0
o'er,o'er,s,topic_43,0,freq1,0,ig5,0,sal1,0
times,times,,topic_21,0,freq3,0,ig5,0,sal5,0
",",",",n
Turning,turning,s,topic_11,0,freq5,0,ig5,0,sal5,0
the,the,s
accomplishment,accomplishment,s,topic_49,0,freq5,0,ig3,0,sal5,0
of,of,s
many,many,s
years,years,n,topic_40,0,freq3,0,ig5,0,sal3,0
Into,into,s
an,an,s
hour-glass,hour-glass,,topic_42,0,freq5,0,ig2,0,sal5,0
:,:,s
for,for,s
the,the,s
which,which,s
supply,supply,,topic_20,0,freq4,0,ig5,0,sal3,0
",",",",n
Admit,admit,s,topic_11,0,freq4,0,ig5,0,sal5,0
me,me,s
Chorus,chorus,s
to,to,s
this,this,s
history,history,,topic_40,0,freq5,0,ig5,0,sal5,0
;,;,n
Who,who,s
prologue-like,prologue-like,s,topic_11,0,freq5,0,ig3,0,sal5,0
your,your,s
humble,humble,s,topic_38,0,freq3,0,ig5,0,sal4,0
patience,patience,s
pray,pray,,topic_2,0,freq1,0,ig5,0,sal2,0
",",",",n
Gently,gently,s,topic_42,0,freq3,0,ig5,0,sal2,0
to,to,s
hear,hear,,topic_40,0,freq2,0,ig5,0,sal5,0
",",",",s
kindly,kindly,s,topic_17,0,freq4,0,ig5,0,sal4,0
to,to,s
judge,judge,,topic_49,0,freq2,0,ig5,0,sal3,0
",",",",s
our,our,s
play,play,,topic_16,0,freq2,0,ig5,0,sal2,0
.,.,n
My,my,s
lord,lord,
",",",",s
I'll,i'll,s
tell,tell,s
you,you,
;,;,s
that,that,s
self,self,s
bill,bill,s,topic_42,0,freq3,0,ig1,0,sal2,0
is,is,s
urged,urged,,topic_8,0,freq3,0,ig5,0,sal2,0
",",",",n
Which,which,s
in,in,s
the,the,s
eleventh,eleventh,s,topic_40,0,freq5,0,ig1,0,sal4,0
year,year,s,topic_49,0,freq2,0,ig5,0,sal2,0
of,of,s
the,the,s
last,last,s
